Data,Fund,Equity,Volatility,Gold,Oil,Aggr,CvArb,CTA,Distress,EqLS,EqMN,ED,FiArb,Macro,MergerArb,Multi,Regime
1/31/11,-0.0318,0.023662404,0.10028169,-0.061431286,0.008864084,0.0213,-0.005485,0.008694,0.012164,-0.007068,-0.025245,0.004439,0.019482,0.008389,0.003821,0.00618,Normal 
2/28/11,-0.0012,0.035596475,-0.060419867,0.056605188,0.051849441,0.018282,-0.005419,0.015416,0.012737,-0.001467,0.028796,0.011587,0.016014,0.021617,0.004511,0.012077,Normal 
3/31/11,-0.003,-0.011076622,-0.033242507,0.021003335,0.100546561,-0.003807,0.021013,0.001051,-0.000942,0.010443,0.009357,0.002312,0.010485,-0.000286,-0.005269,-0.011623,Normal 
4/30/11,-0.0284,0.033889743,-0.16854566,0.081381611,0.06755997,0.011683,0.016813,0.009313,0.005573,0.017353,0.012051,0.0114,0.001877,0.015124,0.011216,0.000076,Bull Market 
5/31/11,-0.0128,-0.02698862,0.047457627,-0.012917738,-0.098569297,-0.00271,-0.017567,-0.005198,-0.006183,-0.008985,0.000786,-0.00848,-0.000498,-0.018388,-0.00685,-0.010517,Normal 
6/30/11,-0.007,-0.017045745,0.069255663,-0.021550882,-0.070886076,-0.006959,-0.011055,-0.015135,-0.008488,-0.007905,-0.006047,-0.010527,-0.007478,-0.018943,-0.006739,-0.006966,Normal 
7/31/11,0.0608,-0.026910768,0.528450363,0.08351078,0.002934395,-0.007665,0.005417,-0.000325,-0.000855,0.006064,0.010865,-0.000922,-0.003962,-0.009168,-0.01323,0.005846,Stress
8/31/11,0.1804,-0.066864914,0.252277228,0.123441626,-0.07199582,-0.051462,-0.05355,-0.037283,-0.019277,-0.011578,0.010278,-0.036925,-0.014673,-0.057646,-0.043444,-0.027956,Stress
9/30/11,0.0765,-0.091410143,0.358633776,-0.114196687,-0.108208535,-0.04826,-0.077855,-0.036262,-0.019923,0.01416,-0.026376,-0.042932,-0.018435,-0.066552,-0.022978,-0.033507,Stress
10/31/11,-0.0838,0.104909534,-0.302607076,0.064675389,0.176641414,0.025928,0.044305,0.035164,0.014985,-0.000366,0.009954,0.034479,0.011884,0.062024,0.023639,0.016361,Bull Market 
11/30/11,-0.0045,-0.011287972,-0.072096128,0.011766752,0.076939586,-0.013648,-0.035668,-0.004805,-0.007832,0.00918,-0.001448,-0.013701,-0.013604,-0.019649,-0.009724,-0.02466,Normal 
